id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,curah_hujan,satuan,bulan,tahun
66,32,JAWA BARAT,3274,KOTA CIREBON,"50,9",MM,JULI,2020
67,32,JAWA BARAT,3274,KOTA CIREBON,"92,6",MM,JUNI,2020
68,32,JAWA BARAT,3274,KOTA CIREBON,"240,1",MM,MEI,2020
69,32,JAWA BARAT,3274,KOTA CIREBON,"176,5",MM,APRIL,2020
70,32,JAWA BARAT,3274,KOTA CIREBON,"370,5",MM,MARET,2020
71,32,JAWA BARAT,3274,KOTA CIREBON,"588,3",MM,FEBRUARI,2020
72,32,JAWA BARAT,3274,KOTA CIREBON,550,MM,JANUARI,2020
73,32,JAWA BARAT,3274,KOTA CIREBON,"319,5",MM,DESEMBER,2019
74,32,JAWA BARAT,3274,KOTA CIREBON,"5,7",MM,NOVEMBER,2019
75,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,OKTOBER,2019
76,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,SEPTEMBER,2019
77,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,AGUSTUS,2019
78,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,JULI,2019
79,32,JAWA BARAT,3274,KOTA CIREBON,3,MM,JUNI,2019
80,32,JAWA BARAT,3274,KOTA CIREBON,162,MM,MEI,2019
81,32,JAWA BARAT,3274,KOTA CIREBON,"285,4",MM,APRIL,2019
82,32,JAWA BARAT,3274,KOTA CIREBON,305,MM,MARET,2019
83,32,JAWA BARAT,3274,KOTA CIREBON,"465,9",MM,FEBRUARI,2019
84,32,JAWA BARAT,3274,KOTA CIREBON,"229,8",MM,JANUARI,2019
85,32,JAWA BARAT,3274,KOTA CIREBON,"238,4",MM,DESEMBER,2018
86,32,JAWA BARAT,3274,KOTA CIREBON,118,MM,NOVEMBER,2018
87,32,JAWA BARAT,3274,KOTA CIREBON,1,MM,OKTOBER,2018
88,32,JAWA BARAT,3274,KOTA CIREBON,8,MM,SEPTEMBER,2018
89,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,AGUSTUS,2018
90,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,JULI,2018
91,32,JAWA BARAT,3274,KOTA CIREBON,"13,6",MM,JUNI,2018
92,32,JAWA BARAT,3274,KOTA CIREBON,"15,1",MM,MEI,2018
93,32,JAWA BARAT,3274,KOTA CIREBON,"274,9",MM,APRIL,2018
94,32,JAWA BARAT,3274,KOTA CIREBON,"896,6",MM,MARET,2018
95,32,JAWA BARAT,3274,KOTA CIREBON,"890,9",MM,FEBRUARI,2018
96,32,JAWA BARAT,3274,KOTA CIREBON,"412,7",MM,JANUARI,2018
